02-May-2019 10:03:38
Sound experiment logfile
Participant 11

sound1,sound2,response
16,18,1
11,12,2
11,19,2
32,34,2
33,38,1
37,38,1
31,38,1
13,19,1
12,19,1
14,15,1
10,19,1
30,31,2
34,38,1
35,38,1
17,19,1
16,19,1
29,38,1
15,19,1
33,34,2
29,30,2
30,38,1
16,17,2
32,33,2
10,11,2
32,38,1
18,19,1
14,19,1
29,31,2
10,12,1
35,36,2
36,37,2
13,15,2
13,14,1
35,37,2
17,18,2
36,38,1
38,30,2
19,15,2
34,32,1
38,37,2
19,14,2
19,13,2
37,36,1
34,33,2
31,29,2
38,31,2
12,10,2
18,16,2
38,32,2
15,14,2
19,18,2
30,29,2
18,17,2
38,35,2
36,35,1
31,30,1
37,35,1
19,10,1
38,29,2
19,12,2
19,17,2
12,11,1
17,16,1
19,11,2
11,10,1
38,36,2
15,13,2
38,33,2
38,34,2
14,13,1
33,32,1
19,16,2
32,38,1
36,38,1
16,17,2
11,12,2
13,15,2
29,31,2
12,19,1
14,15,1
18,19,1
16,19,1
35,36,2
30,31,2
15,19,1
29,30,2
13,14,1
32,33,2
11,19,1
36,37,2
16,18,1
35,37,2
35,38,1
13,19,1
29,38,1
37,38,1
32,34,2
30,38,1
33,34,2
33,38,1
10,19,1
17,18,2
34,38,1
10,12,1
17,19,1
14,19,1
10,11,2
31,38,1
11,10,1
14,13,2
36,35,1
19,16,1
34,33,1
31,29,1
19,11,2
34,32,1
38,30,2
12,10,1
12,11,1
19,17,2
38,33,2
31,30,1
33,32,1
19,13,2
19,15,2
37,35,1
38,37,2
19,14,2
15,13,2
38,31,2
19,12,2
38,35,2
38,29,2
18,16,2
17,16,2
18,17,1
38,32,2
37,36,1
15,14,2
38,36,2
19,10,2
19,18,2
30,29,1
38,34,2
10,11,2
35,38,1
13,14,2
10,19,1
17,18,2
11,19,1
11,12,2
33,34,2
35,36,2
29,30,2
30,31,1
10,12,2
13,15,2
16,19,1
36,38,1
32,38,1
33,38,1
15,19,1
36,37,2
29,31,2
32,34,2
30,38,1
29,38,1
12,19,1
31,38,2
14,15,1
32,33,2
34,38,1
13,19,1
16,17,2
35,37,2
16,18,2
14,19,1
18,19,1
37,38,1
17,19,1
30,29,1
37,35,1
19,12,2
11,10,2
38,30,2
19,15,2
38,31,2
34,32,1
38,34,2
33,32,1
38,36,2
38,29,1
38,32,2
34,33,1
18,17,2
31,30,2
19,14,2
18,16,1
15,13,2
12,10,1
19,13,2
12,11,1
19,10,2
14,13,2
19,17,2
37,36,1
38,35,2
17,16,2
19,16,2
15,14,2
31,29,1
38,33,2
19,11,2
38,37,2
19,18,2
36,35,2
7,8,2
1,19,2
8,19,1
4,5,2
4,19,1
21,38,1
2,19,1
27,38,1
7,19,1
4,6,1
1,3,2
20,38,1
7,9,2
5,6,1
20,22,2
3,19,1
22,38,1
24,38,1
9,19,1
26,38,1
24,25,2
28,38,1
8,9,2
1,2,1
26,28,2
23,25,1
27,28,2
23,24,1
5,19,1
25,38,1
26,27,2
20,21,2
21,22,2
6,19,1
23,38,1
2,3,2
25,23,2
38,26,2
38,28,2
5,4,1
19,5,2
19,1,2
38,20,2
19,4,2
19,8,2
3,1,1
19,9,2
38,22,2
28,26,1
21,20,2
38,27,2
38,21,2
28,27,1
9,7,1
19,7,2
19,3,2
38,24,2
6,4,2
6,5,2
27,26,1
25,24,2
22,21,2
38,25,2
38,23,2
24,23,2
9,8,1
3,2,2
19,6,2
19,2,2
8,7,2
2,1,2
22,20,2
20,38,1
22,38,1
2,19,1
4,6,2
20,22,2
20,21,1
6,19,1
3,19,1
7,9,2
2,3,1
8,9,1
25,38,1
21,38,1
8,19,1
23,25,2
4,5,1
24,25,2
23,38,1
23,24,2
27,38,1
27,28,2
1,19,1
9,19,1
7,19,1
26,27,2
1,2,2
28,38,1
24,38,1
5,6,2
1,3,1
21,22,2
7,8,2
26,28,2
26,38,2
4,19,1
5,19,1
19,3,2
38,25,2
5,4,2
38,21,2
24,23,1
22,20,1
19,2,2
9,8,2
19,5,2
19,1,2
3,1,2
38,28,2
22,21,1
38,20,2
27,26,2
38,24,2
9,7,2
38,23,2
21,20,2
6,4,2
38,27,2
6,5,2
25,23,1
